IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-23 18:00:00, TS, 23.10, -75.10, 30.0, 1008.0,atcf,  17.564,  15.847,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-24 00:00:00, TS, 23.40, -75.70, 30.0, 1007.0,atcf,  17.564,  21.488,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-24 06:00:00, TS, 23.80, -76.20, 30.0, 1007.0,atcf,  17.564,  21.488,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-24 12:00:00, TS, 24.50, -76.50, 35.0, 1006.0,atcf,  32.605,  26.787,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-24 18:00:00, TS, 25.40, -76.90, 40.0, 1003.0,atcf,  42.692,  41.881,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-25 00:00:00, TS, 26.00, -77.70, 45.0, 1000.0,atcf,  50.354,  51.073,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-25 06:00:00, TS, 26.10, -78.40, 50.0,  997.0,atcf,  58.600,  59.549,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-25 12:00:00, TS, 26.20, -79.00, 55.0,  994.0,atcf,  64.336,  65.329,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-25 18:00:00, TS, 26.20, -79.60, 60.0,  988.0,atcf,  69.665,  73.886,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-25 22:30:00, TS, 26.00, -80.10, 70.0,  984.0,atcf,  78.778,  78.829,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-26 00:00:00, TS, 25.90, -80.30, 70.0,  983.0,atcf,  78.778,  79.778,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-26 06:00:00, TS, 25.40, -81.30, 65.0,  987.0,atcf,  73.828,  74.957,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-26 12:00:00, TS, 25.10, -82.00, 75.0,  979.0,atcf,  81.904,  83.239,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-26 18:00:00, TS, 24.90, -82.60, 85.0,  968.0,atcf,  87.293,  90.027,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-27 00:00:00, TS, 24.60, -83.30, 90.0,  959.0,atcf,  89.033,  93.683,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-27 06:00:00, TS, 24.40, -84.00, 95.0,  950.0,atcf,  91.630,  95.835,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-27 12:00:00, TS, 24.40, -84.70,100.0,  942.0,atcf,  92.893,  97.733,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-27 18:00:00, TS, 24.50, -85.30,100.0,  948.0,atcf,  92.893,  96.362,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-28 00:00:00, TS, 24.80, -85.90,100.0,  941.0,atcf,  92.893,  97.910,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-28 06:00:00, TS, 25.20, -86.70,125.0,  930.0,atcf,  98.468,  99.114,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-28 12:00:00, TS, 25.70, -87.70,145.0,  909.0,atcf,  99.795,  99.874,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-28 18:00:00, TS, 26.30, -88.60,150.0,  902.0,atcf,  99.876,  99.923,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-29 00:00:00, TS, 27.20, -89.20,140.0,  905.0,atcf,  99.563,  99.902,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-29 06:00:00, TS, 28.20, -89.60,125.0,  913.0,atcf,  98.468,  99.773,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-29 11:10:00, TS, 29.30, -89.60,110.0,  920.0,atcf,  95.527,  99.592,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-29 12:00:00, TS, 29.50, -89.60,110.0,  923.0,atcf,  95.527,  99.484,main
2005236N23285,2005,12, NA, GM,KATRINA,2005-08-29 14:45:00, TS, 30.20, -89.60,105.0,  928.0,atcf,  94.631,  99.247,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-29 18:00:00, TS, 31.10, -89.60, 80.0,  948.0,atcf,  85.026,  96.362,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-30 00:00:00, TS, 32.60, -89.10, 50.0,  961.0,atcf,  58.600,  92.671,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-30 06:00:00, TS, 34.10, -88.60, 40.0,  978.0,atcf,  42.692,  84.079,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-30 12:00:00, TS, 35.60, -88.00, 30.0,  985.0,atcf,  17.564,  77.685,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-30 18:00:00, TS, 37.00, -87.00, 30.0,  990.0,atcf,  17.564,  71.117,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-31 00:00:00, ET, 38.60, -85.30, 30.0,  994.0,atcf,  17.564,  65.329,main
2005236N23285,2005,12, NA, NA,KATRINA,2005-08-31 06:00:00, ET, 40.10, -82.90, 25.0,  996.0,atcf,   4.993,  61.893,main
